GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AF2LE001,NAME_M,AF2LM001
"G0201500","2012-2016",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kodiak Island Borough, Alaska",13918,"Kodiak Island Borough, Alaska",0
"G0201580","2012-2016",,,"Alaska","02","Kusilvak Census Area","158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusilvak Census Area, Alaska",7993,"Kusilvak Census Area, Alaska",0
"G0201640","2012-2016",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake and Peninsula Borough, Alaska",1411,"Lake and Peninsula Borough, Alaska",121
"G0201700","2012-2016",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",98679,"Matanuska-Susitna Borough, Alaska",0
"G0201800","2012-2016",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nome Census Area, Alaska",9879,"Nome Census Area, Alaska",0
"G0201850","2012-2016",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Slope Borough, Alaska",9681,"North Slope Borough, Alaska",0
"G0201880","2012-2016",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Northwest Arctic Borough, Alaska",7723,"Northwest Arctic Borough, Alaska",0
"G0201950","2012-2016",,,"Alaska","02","Petersburg Borough","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Petersburg Borough, Alaska",3196,"Petersburg Borough, Alaska",0
"G0201980","2012-2016",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prince of Wales-Hyder Census Area, Alaska",6374,"Prince of Wales-Hyder Census Area, Alaska",0
"G0202200","2012-2016",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sitka City and Borough, Alaska",8921,"Sitka City and Borough, Alaska",0
"G0202300","2012-2016",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skagway Municipality, Alaska",1014,"Skagway Municipality, Alaska",95
"G0202400","2012-2016",,,"Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southeast Fairbanks Census Area, Alaska",6970,"Southeast Fairbanks Census Area, Alaska",0
"G0202610","2012-2016",,,"Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Valdez-Cordova Census Area, Alaska",9522,"Valdez-Cordova Census Area, Alaska",0
"G0202750","2012-2016",,,"Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wrangell City and Borough, Alaska",2401,"Wrangell City and Borough, Alaska",0
"G0202820","2012-2016",,,"Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yakutat City and Borough, Alaska",646,"Yakutat City and Borough, Alaska",74
"G0202900","2012-2016",,,"Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yukon-Koyukuk Census Area, Alaska",5600,"Yukon-Koyukuk Census Area, Alaska",0
"G0400010","2012-2016",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apache County, Arizona",72346,"Apache County, Arizona",0
"G0400030","2012-2016",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cochise County, Arizona",128177,"Cochise County, Arizona",0
"G0400050","2012-2016",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coconino County, Arizona",138064,"Coconino County, Arizona",0
"G0400070","2012-2016",,,"Arizona","04","Gila County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gila County, Arizona",53179,"Gila County, Arizona",0
"G0400090","2012-2016",,,"Arizona","04","Graham County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Graham County, Arizona",37529,"Graham County, Arizona",0
"G0400110","2012-2016",,,"Arizona","04","Greenlee County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenlee County, Arizona",9224,"Greenlee County, Arizona",0
"G0400120","2012-2016",,,"Arizona","04","La Paz County","012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La Paz County, Arizona",20304,"La Paz County, Arizona",0
"G0400130","2012-2016",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maricopa County, Arizona",4088549,"Maricopa County, Arizona",0
"G0400150","2012-2016",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mohave County, Arizona",203629,"Mohave County, Arizona",0
"G0400170","2012-2016",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Navajo County, Arizona",108209,"Navajo County, Arizona",0
"G0400190","2012-2016",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pima County, Arizona",1003338,"Pima County, Arizona",0
"G0400210","2012-2016",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pinal County, Arizona",397604,"Pinal County, Arizona",0
"G0400230","2012-2016",,,"Arizona","04","Santa Cruz County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santa Cruz County, Arizona",46547,"Santa Cruz County, Arizona",0
"G0400250","2012-2016",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yavapai County, Arizona",218586,"Yavapai County, Arizona",0
"G0400270","2012-2016",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuma County, Arizona",203292,"Yuma County, Arizona",0
"G0500010","2012-2016",,,"Arkansas","05","Arkansas County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas County, Arkansas",18569,"Arkansas County, Arkansas",0
"G0500030","2012-2016",,,"Arkansas","05","Ashley County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ashley County, Arkansas",20989,"Ashley County, Arkansas",0
"G0500050","2012-2016",,,"Arkansas","05","Baxter County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baxter County, Arkansas",40992,"Baxter County, Arkansas",0
"G0500070","2012-2016",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Benton County, Arkansas",245231,"Benton County, Arkansas",0
"G0500090","2012-2016",,,"Arkansas","05","Boone County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boone County, Arkansas",37301,"Boone County, Arkansas",0
"G0500110","2012-2016",,,"Arkansas","05","Bradley County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bradley County, Arkansas",11096,"Bradley County, Arkansas",0
"G0500130","2012-2016",,,"Arkansas","05","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Arkansas",5210,"Calhoun County, Arkansas",0
"G0500150","2012-2016",,,"Arkansas","05","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carroll County, Arkansas",27690,"Carroll County, Arkansas",0
"G0500170","2012-2016",,,"Arkansas","05","Chicot County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicot County, Arkansas",11189,"Chicot County, Arkansas",0
"G0500190","2012-2016",,,"Arkansas","05","Clark County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County, Arkansas",22684,"Clark County, Arkansas",0
"G0500210","2012-2016",,,"Arkansas","05","Clay County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Arkansas",15202,"Clay County, Arkansas",0
